system	game_key	asset_path	aliases	trigger_count
genesis	3NinjasKickBack-Genesis	profiles/genesis/3ninjaskickback_genesis.qrr	3ninjaskickback|3ninjaskickbackgenesis	5
genesis	AaahhRealMonsters-Genesis	profiles/genesis/aaahhrealmonsters_genesis.qrr	aaahhrealmonsters|aaahhrealmonstersgenesis	4
genesis	AddamsFamily-Genesis	profiles/genesis/addamsfamily_genesis.qrr	addamsfamily|addamsfamilygenesis|addamsfamilythe	5
genesis	AdvancedBusterhawkGleylancer-Genesis	profiles/genesis/advancedbusterhawkgleylancer_genesis.qrr	advancedbusterhawkgleylancer|advancedbusterhawkgleylancergenesis	3
genesis	AdventuresOfBatmanAndRobin-Genesis	profiles/genesis/adventuresofbatmanandrobin_genesis.qrr	adventuresofbatmanandrobin|adventuresofbatmanandrobingenesis	5
genesis	AdventuresOfMightyMax-Genesis	profiles/genesis/adventuresofmightymax_genesis.qrr	adventuresofmightymax|adventuresofmightymaxgenesis|adventuresofmightymaxthe	3
genesis	AdventuresOfRockyAndBullwinkleAndFriends-Genesis	profiles/genesis/adventuresofrockyandbullwinkleandfriends_genesis.qrr	adventuresofrockyandbullwinkleandfriends|adventuresofrockyandbullwinkleandfriendsgenesis|adventuresofrockyandbullwinkleandfriendsthe	5
genesis	AeroTheAcroBat2-Genesis	profiles/genesis/aerotheacrobat2_genesis.qrr	aerotheacrobat2|aerotheacrobat2genesis	6
genesis	AfterBurnerII-Genesis	profiles/genesis/afterburnerii_genesis.qrr	afterburnerii|afterburneriigenesis	3
genesis	AirBuster-Genesis	profiles/genesis/airbuster_genesis.qrr	airbuster|airbustergenesis	3
genesis	AirDiver-Genesis	profiles/genesis/airdiver_genesis.qrr	airdiver|airdivergenesis	3
genesis	Airstriker-Genesis	profiles/genesis/airstriker_genesis.qrr	airstriker|airstrikergenesis	4
genesis	AlienSoldier-Genesis	profiles/genesis/aliensoldier_genesis.qrr	aliensoldier|aliensoldiergenesis	3
genesis	AlteredBeast-Genesis	profiles/genesis/alteredbeast_genesis.qrr	alteredbeast|alteredbeastgenesis	5
genesis	AmericanGladiators-Genesis	profiles/genesis/americangladiators_genesis.qrr	americangladiators|americangladiatorsgenesis	2
genesis	ArchRivalsTheArcadeGame-Genesis	profiles/genesis/archrivalsthearcadegame_genesis.qrr	archrivalsthearcadegame|archrivalsthearcadegamegenesis	1
genesis	ArielTheLittleMermaid-Genesis	profiles/genesis/arielthelittlemermaid_genesis.qrr	arielthelittlemermaid|arielthelittlemermaidgenesis	4
genesis	ArrowFlash-Genesis	profiles/genesis/arrowflash_genesis.qrr	arrowflash|arrowflashgenesis	3
genesis	ArtOfFighting-Genesis	profiles/genesis/artoffighting_genesis.qrr	artoffighting|artoffightinggenesis	1
genesis	AsterixAndTheGreatRescue-Genesis	profiles/genesis/asterixandthegreatrescue_genesis.qrr	asterixandthegreatrescue|asterixandthegreatrescuegenesis	5
genesis	AsterixAndThePowerOfTheGods-Genesis	profiles/genesis/asterixandthepowerofthegods_genesis.qrr	asterixandthepowerofthegods|asterixandthepowerofthegodsgenesis	5
genesis	AtomicRoboKid-Genesis	profiles/genesis/atomicrobokid_genesis.qrr	atomicrobokid|atomicrobokidgenesis	3
genesis	AtomicRunner-Genesis	profiles/genesis/atomicrunner_genesis.qrr	atomicrunner|atomicrunnergenesis	4
genesis	AwesomePossumKicksDrMachinosButt-Genesis	profiles/genesis/awesomepossumkicksdrmachinosbutt_genesis.qrr	awesomepossumkicksdrmachinosbutt|awesomepossumkicksdrmachinosbuttgenesis	4
genesis	BOB-Genesis	profiles/genesis/bob_genesis.qrr	bob|bobgenesis	4
genesis	BackToTheFuturePartIII-Genesis	profiles/genesis/backtothefuturepartiii_genesis.qrr	backtothefuturepartiii|backtothefuturepartiiigenesis	3
genesis	BarkleyShutUpAndJam-Genesis	profiles/genesis/barkleyshutupandjam_genesis.qrr	barkleyshutupandjam|barkleyshutupandjamgenesis	1
genesis	BarkleyShutUpAndJam2-Genesis	profiles/genesis/barkleyshutupandjam2_genesis.qrr	barkleyshutupandjam2|barkleyshutupandjam2genesis	1
genesis	BarneysHideAndSeekGame-Genesis	profiles/genesis/barneyshideandseekgame_genesis.qrr	barneyshideandseekgame|barneyshideandseekgamegenesis	1
genesis	Batman-Genesis	profiles/genesis/batman_genesis.qrr	batman|batmangenesis	5
genesis	BatmanReturns-Genesis	profiles/genesis/batmanreturns_genesis.qrr	batmanreturns|batmanreturnsgenesis	5
genesis	BattleSquadron-Genesis	profiles/genesis/battlesquadron_genesis.qrr	battlesquadron|battlesquadrongenesis	3
genesis	BattleTechAGameOfArmoredCombat-Genesis	profiles/genesis/battletechagameofarmoredcombat_genesis.qrr	battletechagameofarmoredcombat|battletechagameofarmoredcombatgenesis	2
genesis	Battletoads-Genesis	profiles/genesis/battletoads_genesis.qrr	battletoads|battletoadsgenesis	5
genesis	BattletoadsAndDoubleDrago-Genesis	profiles/genesis/battletoadsanddoubledrago_genesis.qrr	battletoadsanddoubledrago|battletoadsanddoubledragogenesis	6
genesis	BattletoadsDoubleDragon-Genesis	profiles/genesis/battletoadsdoubledragon_genesis.qrr	battletoadsdoubledragon|battletoadsdoubledragongenesis	5
genesis	BeautyAndTheBeastBellesQuest-Genesis	profiles/genesis/beautyandthebeastbellesquest_genesis.qrr	beautyandthebeastbellesquest|beautyandthebeastbellesquestgenesis	5
genesis	BeautyAndTheBeastRoarOfTheBeast-Genesis	profiles/genesis/beautyandthebeastroarofthebeast_genesis.qrr	beautyandthebeastroarofthebeast|beautyandthebeastroarofthebeastgenesis	5
genesis	BeyondOasis-Genesis	profiles/genesis/beyondoasis_genesis.qrr	beyondoasis|beyondoasisgenesis	1
genesis	BiminiRun-Genesis	profiles/genesis/biminirun_genesis.qrr	biminirun|biminirungenesis	4
genesis	BioHazardBattle-Genesis	profiles/genesis/biohazardbattle_genesis.qrr	biohazardbattle|biohazardbattlegenesis	3
genesis	BishoujoSenshiSailorMoon-Genesis	profiles/genesis/bishoujosenshisailormoon_genesis.qrr	bishoujosenshisailormoon|bishoujosenshisailormoongenesis	5
genesis	BladesOfVengeance-Genesis	profiles/genesis/bladesofvengeance_genesis.qrr	bladesofvengeance|bladesofvengeancegenesis	3
genesis	Blockout-Genesis	profiles/genesis/blockout_genesis.qrr	blockout|blockoutgenesis	1
genesis	BodyCount-Genesis	profiles/genesis/bodycount_genesis.qrr	bodycount|bodycountgenesis	3
genesis	BoogermanAPickAndFlickAdventure-Genesis	profiles/genesis/boogermanapickandflickadventure_genesis.qrr	boogermanapickandflickadventure|boogermanapickandflickadventuregenesis	5
genesis	BoxingLegendsOfTheRing-Genesis	profiles/genesis/boxinglegendsofthering_genesis.qrr	boxinglegendsofthering|boxinglegendsoftheringgenesis	2
genesis	BramStokersDracula-Genesis	profiles/genesis/bramstokersdracula_genesis.qrr	bramstokersdracula|bramstokersdraculagenesis	5
genesis	BubbaNStix-Genesis	profiles/genesis/bubbanstix_genesis.qrr	bubbanstix|bubbanstixgenesis	5
genesis	BubbleAndSqueak-Genesis	profiles/genesis/bubbleandsqueak_genesis.qrr	bubbleandsqueak|bubbleandsqueakgenesis	5
genesis	BubsyII-Genesis	profiles/genesis/bubsyii_genesis.qrr	bubsyii|bubsyiigenesis	5
genesis	BubsyInClawsEncountersOfTheFurredKind-Genesis	profiles/genesis/bubsyinclawsencountersofthefurredkind_genesis.qrr	bubsyinclawsencountersofthefurredkind|bubsyinclawsencountersofthefurredkindgenesis	3
genesis	BurningForce-Genesis	profiles/genesis/burningforce_genesis.qrr	burningforce|burningforcegenesis	3
genesis	Cadash-Genesis	profiles/genesis/cadash_genesis.qrr	cadash|cadashgenesis	1
genesis	Caliber50-Genesis	profiles/genesis/caliber50_genesis.qrr	caliber50|caliber50genesis	5
genesis	CaliforniaGames-Genesis	profiles/genesis/californiagames_genesis.qrr	californiagames|californiagamesgenesis	1
genesis	CaptainAmericaAndTheAvengers-Genesis	profiles/genesis/captainamericaandtheavengers_genesis.qrr	captainamericaandtheavengers|captainamericaandtheavengersgenesis	5
genesis	CaptainPlanetAndThePlaneteers-Genesis	profiles/genesis/captainplanetandtheplaneteers_genesis.qrr	captainplanetandtheplaneteers|captainplanetandtheplaneteersgenesis	3
genesis	CastleOfIllusion-Genesis	profiles/genesis/castleofillusion_genesis.qrr	castleofillusion|castleofillusiongenesis	6
genesis	CastlevaniaBloodlines-Genesis	profiles/genesis/castlevaniabloodlines_genesis.qrr	castlevaniabloodlines|castlevaniabloodlinesgenesis	5
genesis	CastlevaniaTheNewGeneration-Genesis	profiles/genesis/castlevaniathenewgeneration_genesis.qrr	castlevaniathenewgeneration|castlevaniathenewgenerationgenesis	5
genesis	ChampionshipProAm-Genesis	profiles/genesis/championshipproam_genesis.qrr	championshipproam|championshipproamgenesis	5
genesis	ChaosEngine-Genesis	profiles/genesis/chaosengine_genesis.qrr	chaosengine|chaosenginegenesis|chaosenginethe	3
genesis	ChaseHQII-Genesis	profiles/genesis/chasehqii_genesis.qrr	chasehqii|chasehqiigenesis	1
genesis	CheeseCatAstropheStarringSpeedyGonzales-Genesis	profiles/genesis/cheesecatastrophestarringspeedygonzales_genesis.qrr	cheesecatastrophestarringspeedygonzales|cheesecatastrophestarringspeedygonzalesgenesis	5
genesis	ChesterCheetahTooCoolToFool-Genesis	profiles/genesis/chestercheetahtoocooltofool_genesis.qrr	chestercheetahtoocooltofool|chestercheetahtoocooltofoolgenesis	3
genesis	ChesterCheetahWildWildQuest-Genesis	profiles/genesis/chestercheetahwildwildquest_genesis.qrr	chestercheetahwildwildquest|chestercheetahwildwildquestgenesis	3
genesis	ChikiChikiBoys-Genesis	profiles/genesis/chikichikiboys_genesis.qrr	chikichikiboys|chikichikiboysgenesis	3
genesis	ChuckRock-Genesis	profiles/genesis/chuckrock_genesis.qrr	chuckrock|chuckrockgenesis	5
genesis	ChuckRockIISonOfChuck-Genesis	profiles/genesis/chuckrockiisonofchuck_genesis.qrr	chuckrockiisonofchuck|chuckrockiisonofchuckgenesis	5
genesis	ChuckRockIi-Genesis	profiles/genesis/chuckrockii_genesis.qrr	chuckrockii|chuckrockiigenesis	1
genesis	ClayFighter-Genesis	profiles/genesis/clayfighter_genesis.qrr	clayfighter|clayfightergenesis	3
genesis	Cliffhanger-Genesis	profiles/genesis/cliffhanger_genesis.qrr	cliffhanger|cliffhangergenesis	5
genesis	Columns-Genesis	profiles/genesis/columns_genesis.qrr	columns|columnsgenesis	2
