# schema=qrd_rumble_csv_v1
# game_name=Marko (USA)
# match_names=marko|markogenesis
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
damage_taken_health_ff8d29,0xFF8D29,1,uint,prev_gt_curr,,left,0.850,fade_out,0,110,80,70,
death_health_ff8d29,0xFF8D29,1,uint,became_zero,,both,1.000,heartbeat,0,600,400,90,
life_lost_lives_ff8d25,0xFF8D25,1,int,prev_gt_curr,,both,0.92,fade_in_out,0,300,250,80,
life_gained_lives_ff8d25,0xFF8D25,1,int,prev_lt_curr,,both,0.750,fade_in,0,180,200,50,
score_score0_ff8d0b,0xFF8D0B,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
score_score1_ff8d09,0xFF8D09,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
score_score2_ff8d07,0xFF8D07,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
score_score3_ff8d05,0xFF8D05,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
score_score4_ff8d03,0xFF8D03,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
score_score5_ff8d01,0xFF8D01,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
score_score6_ff8cff,0xFF8CFF,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
