# schema=qrd_rumble_csv_v1
# game_name=Adventures of Yogi Bear (USA) (Action Replay)
# match_names=adventuresofyogibear|adventuresofyogibearsnes
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
damage_taken_health_021e,0x7E021E,1,uint,prev_gt_curr,,left,0.850,normal,0,90,100,70,
death_health_021e,0x7E021E,1,uint,became_zero,,both,1.000,normal,0,600,400,90,
life_lost_lives_021c,0x7E021C,1,int,prev_gt_curr,,both,0.900,normal,0,300,160,80,
life_gained_lives_021c,0x7E021C,1,int,prev_lt_curr,,both,0.750,normal,0,180,160,50,
score_score0_0200,0x7E0200,1,uint,prev_lt_curr,,right,0.350,normal,0,60,50,10,
score_score1_0202,0x7E0202,1,uint,prev_lt_curr,,right,0.350,normal,0,60,50,10,
score_score2_0204,0x7E0204,1,uint,prev_lt_curr,,right,0.350,normal,0,60,50,10,
score_score3_0206,0x7E0206,1,uint,prev_lt_curr,,right,0.350,normal,0,60,50,10,
score_score4_0208,0x7E0208,1,uint,prev_lt_curr,,right,0.350,normal,0,60,50,10,
score_score5_020a,0x7E020A,1,uint,prev_lt_curr,,right,0.350,normal,0,60,50,10,
score_score6_020c,0x7E020C,1,uint,prev_lt_curr,,right,0.350,normal,0,60,50,10,
score_score7_020e,0x7E020E,1,uint,prev_lt_curr,,right,0.350,normal,0,60,50,10,
