# schema=qrd_rumble_csv_v1
# game_name=Super Star Wars (World) (Action Replay)
# match_names=superstarwars|superstarwarssnes
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
damage_taken_health_0901,0x7E0901,1,int,prev_gt_curr,,left,0.850,fade_out,0,110,80,70,
death_health_0901,0x7E0901,1,int,became_zero,,both,1.000,heartbeat,0,600,400,90,
life_lost_lives_08fb,0x7E08FB,1,int,prev_gt_curr,,both,0.92,fade_in_out,0,300,250,80,
life_gained_lives_08fb,0x7E08FB,1,int,prev_lt_curr,,both,0.750,fade_in,0,180,200,50,
score_score0_095d,0x7E095D,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
score_score1_095f,0x7E095F,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
score_score2_0961,0x7E0961,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
score_score3_0963,0x7E0963,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
score_score4_0965,0x7E0965,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
score_score5_0967,0x7E0967,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
score_score6_0969,0x7E0969,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
score_score7_096b,0x7E096B,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
