system,game,integration_tier,json_file,source_fields,triggers,unsupported_fields
genesis,SonicAndKnuckles3CustomKevin,contrib,rumble\openai_retro\genesis\contrib\sonicandknuckles3customkevin_genesis.json,11,7,5
genesis,SonicTheHedgehog2CustomKevin,contrib,rumble\openai_retro\genesis\contrib\sonicthehedgehog2customkevin_genesis.json,11,7,5
genesis,SonicTheHedgehog2CustomLeaderboard,contrib,rumble\openai_retro\genesis\contrib\sonicthehedgehog2customleaderboard_genesis.json,11,7,5
genesis,SonicTheHedgehogCustomCathy,contrib,rumble\openai_retro\genesis\contrib\sonicthehedgehogcustomcathy_genesis.json,10,7,4
genesis,SonicTheHedgehogCustomKevin,contrib,rumble\openai_retro\genesis\contrib\sonicthehedgehogcustomkevin_genesis.json,10,7,4
genesis,SonicTheHedgehogCustomLeaderboard,contrib,rumble\openai_retro\genesis\contrib\sonicthehedgehogcustomleaderboard_genesis.json,10,7,4
snes,ActRaiser2,experimental,rumble\openai_retro\snes\experimental\actraiser2_snes.json,5,6,1
snes,ArdyLightfoot,experimental,rumble\openai_retro\snes\experimental\ardylightfoot_snes.json,3,4,0
genesis,AwesomePossumKicksDrMachinosButt,experimental,rumble\openai_retro\genesis\experimental\awesomepossumkicksdrmachinosbutt_genesis.json,4,6,0
genesis,AyrtonSennasSuperMonacoGPII,experimental,rumble\openai_retro\genesis\experimental\ayrtonsennassupermonacogpii_genesis.json,5,0,5
genesis,BonanzaBros,experimental,rumble\openai_retro\genesis\experimental\bonanzabros_genesis.json,3,4,0
genesis,BoxingLegendsOfTheRing,experimental,rumble\openai_retro\genesis\experimental\boxinglegendsofthering_genesis.json,8,2,6
snes,ChesterCheetahWildWildQuest,experimental,rumble\openai_retro\snes\experimental\chestercheetahwildwildquest_snes.json,8,9,0
genesis,DavidCranesAmazingTennis,experimental,rumble\openai_retro\genesis\experimental\davidcranesamazingtennis_genesis.json,6,0,6
genesis,DeathDuel,experimental,rumble\openai_retro\genesis\experimental\deathduel_genesis.json,5,3,3
genesis,DoubleDragonVTheShadowFalls,experimental,rumble\openai_retro\genesis\experimental\doubledragonvtheshadowfalls_genesis.json,5,3,3
genesis,EarnestEvans,experimental,rumble\openai_retro\genesis\experimental\earnestevans_genesis.json,3,5,0
genesis,F1,experimental,rumble\openai_retro\genesis\experimental\f1_genesis.json,7,2,5
genesis,Fantasia,experimental,rumble\openai_retro\genesis\experimental\fantasia_genesis.json,4,6,0
genesis,Flintstones,experimental,rumble\openai_retro\genesis\experimental\flintstones_genesis.json,3,5,0
genesis,GlobalGladiators,experimental,rumble\openai_retro\genesis\experimental\globalgladiators_genesis.json,3,4,0
snes,JikkyouOshaberiParodius,experimental,rumble\openai_retro\snes\experimental\jikkyouoshaberiparodius_snes.json,2,3,0
snes,Legend,experimental,rumble\openai_retro\snes\experimental\legend_snes.json,3,5,0
snes,MaerchenAdventureCotton100,experimental,rumble\openai_retro\snes\experimental\maerchenadventurecotton100_snes.json,2,3,0
genesis,Marsupilami,experimental,rumble\openai_retro\genesis\experimental\marsupilami_genesis.json,3,5,0
genesis,MazinSagaMutantFighter,experimental,rumble\openai_retro\genesis\experimental\mazinsagamutantfighter_genesis.json,7,6,3
snes,MegaManX,experimental,rumble\openai_retro\snes\experimental\megamanx_snes.json,3,4,1
genesis,MortalKombat,experimental,rumble\openai_retro\genesis\experimental\mortalkombat_genesis.json,6,4,3
genesis,MrNutz,experimental,rumble\openai_retro\genesis\experimental\mrnutz_genesis.json,3,5,0
genesis,PowerAthlete,experimental,rumble\openai_retro\genesis\experimental\powerathlete_genesis.json,5,4,2
genesis,RadicalRex,experimental,rumble\openai_retro\genesis\experimental\radicalrex_genesis.json,3,5,0
genesis,Smurfs,experimental,rumble\openai_retro\genesis\experimental\smurfs_genesis.json,3,5,0
snes,Sparkster,experimental,rumble\openai_retro\snes\experimental\sparkster_snes.json,3,5,0
snes,StarFox,experimental,rumble\openai_retro\snes\experimental\starfox_snes.json,4,4,2
genesis,StreetSmart,experimental,rumble\openai_retro\genesis\experimental\streetsmart_genesis.json,3,5,0
genesis,ToeJamAndEarlInPanicOnFunkotron,experimental,rumble\openai_retro\genesis\experimental\toejamandearlinpaniconfunkotron_genesis.json,7,8,1
genesis,Verytex,experimental,rumble\openai_retro\genesis\experimental\verytex_genesis.json,2,3,0
genesis,3NinjasKickBack,stable,rumble\openai_retro\genesis\stable\3ninjaskickback_genesis.json,4,5,1
genesis,AaahhRealMonsters,stable,rumble\openai_retro\genesis\stable\aaahhrealmonsters_genesis.json,3,4,1
snes,AcceleBrid,stable,rumble\openai_retro\snes\stable\accelebrid_snes.json,2,3,0
snes,ActionPachio,stable,rumble\openai_retro\snes\stable\actionpachio_snes.json,3,5,0
snes,ActRaiser2,stable,rumble\openai_retro\snes\stable\actraiser2_snes.json,2,3,0
genesis,AddamsFamily,stable,rumble\openai_retro\genesis\stable\addamsfamily_genesis.json,4,5,1
snes,AddamsFamily,stable,rumble\openai_retro\snes\stable\addamsfamily_snes.json,3,5,0
snes,AddamsFamilyPugsleysScavengerHunt,stable,rumble\openai_retro\snes\stable\addamsfamilypugsleysscavengerhunt_snes.json,3,5,0
genesis,AdvancedBusterhawkGleylancer,stable,rumble\openai_retro\genesis\stable\advancedbusterhawkgleylancer_genesis.json,2,3,0
genesis,AdventuresOfBatmanAndRobin,stable,rumble\openai_retro\genesis\stable\adventuresofbatmanandrobin_genesis.json,3,5,0
snes,AdventuresOfDrFranken,stable,rumble\openai_retro\snes\stable\adventuresofdrfranken_snes.json,3,5,0
snes,AdventuresOfKidKleets,stable,rumble\openai_retro\snes\stable\adventuresofkidkleets_snes.json,3,5,0
genesis,AdventuresOfMightyMax,stable,rumble\openai_retro\genesis\stable\adventuresofmightymax_genesis.json,2,3,0
snes,AdventuresOfMightyMax,stable,rumble\openai_retro\snes\stable\adventuresofmightymax_snes.json,3,5,0
genesis,AdventuresOfRockyAndBullwinkleAndFriends,stable,rumble\openai_retro\genesis\stable\adventuresofrockyandbullwinkleandfriends_genesis.json,3,5,0
snes,AdventuresOfRockyAndBullwinkleAndFriends,stable,rumble\openai_retro\snes\stable\adventuresofrockyandbullwinkleandfriends_snes.json,3,5,0
snes,AdventuresOfYogiBear,stable,rumble\openai_retro\snes\stable\adventuresofyogibear_snes.json,10,12,0
snes,AeroFighters,stable,rumble\openai_retro\snes\stable\aerofighters_snes.json,2,3,0
snes,AeroTheAcroBat,stable,rumble\openai_retro\snes\stable\aerotheacrobat_snes.json,3,2,1
genesis,AeroTheAcroBat2,stable,rumble\openai_retro\genesis\stable\aerotheacrobat2_genesis.json,4,6,0
snes,AeroTheAcroBat2,stable,rumble\openai_retro\snes\stable\aerotheacrobat2_snes.json,3,5,0
genesis,AfterBurnerII,stable,rumble\openai_retro\genesis\stable\afterburnerii_genesis.json,2,3,0
genesis,AirBuster,stable,rumble\openai_retro\genesis\stable\airbuster_genesis.json,2,3,0
snes,AirCavalry,stable,rumble\openai_retro\snes\stable\aircavalry_snes.json,2,3,0
genesis,AirDiver,stable,rumble\openai_retro\genesis\stable\airdiver_genesis.json,4,3,2
genesis,Airstriker,stable,rumble\openai_retro\genesis\stable\airstriker_genesis.json,3,4,0
snes,AlfredChicken,stable,rumble\openai_retro\snes\stable\alfredchicken_snes.json,2,3,0
genesis,AlienSoldier,stable,rumble\openai_retro\genesis\stable\aliensoldier_genesis.json,3,3,1
snes,AlienVsPredator,stable,rumble\openai_retro\snes\stable\alienvspredator_snes.json,3,5,0
genesis,AlteredBeast,stable,rumble\openai_retro\genesis\stable\alteredbeast_genesis.json,3,5,0
genesis,AmericanGladiators,stable,rumble\openai_retro\genesis\stable\americangladiators_genesis.json,2,2,0
